Castle Mountains,camo,National Monument,CA,35.29156348,-115.0935606
Catoctin Mountain,cato,Park,MD,39.65068457,-77.46417665
Cedar Breaks,cebr,National Monument,UT,37.63545562,-112.845268
Cedar Creek & Belle Grove,cebe,National Historical Park,VA,39.0093576,-78.30618934
Chaco Culture,chcu,National Historical Park,NM,36.03963414,-107.9560076
Chamizal,cham,National Memorial,TX,31.76729634,-106.4544011
Channel Islands,chis,National Park,CA,33.98680093,-119.9112735
Charles Pinckney,chpi,National Historic Site,SC,32.84577392,-79.82487582
Charles Young Buffalo Soldiers,chyo,National Monument,OH,39.70817829,-83.89328575
Chattahoochee River,chat,National Recreation Area,GA,33.99698333,-84.28953177
Chesapeake & Ohio Canal,choh,National Historical Park,"DC,MD,WV",39.000283692,-77.2481399539
Chesapeake Bay,cbpo,,"DC,DE,MD,NY,PA,VA,WV",38.971601,-76.483355
Chickamauga & Chattanooga,chch,National Military Park,"GA,TN",34.94317623,-85.28749537
Chickasaw,chic,National Recreation Area,OK,34.46050507,-97.00715669
Chiricahua,chir,National Monument,AZ,32.01214618,-109.341607
Christiansted,chri,National Historic Site,VI,17.7468,-64.7022
City Of Rocks,ciro,National Reserve,ID,42.0699024,-113.7124097
Civil War Defenses of Washington,cwdw,,"DC,MD,VA",38.9644,-77.0292
Clara Barton,clba,National Historic Site,MD,38.96762882,-77.14009689
Colonial,colo,National Historical Park,VA,37.22824435,-76.61998123
Colorado,colm,National Monument,CO,39.05045016,-108.6920709
Coltsville,colt,National Historical Park,CT,42.4677505493,-73.203666687
Congaree,cong,National Park,SC,33.79187523,-80.74867805
Constitution Gardens,coga,,DC,38.8909354,-77.04409306
Coronado,coro,National Memorial,AZ,31.34900397,-110.2561574
Cowpens,cowp,National Battlefield,SC,35.13160654,-81.80935433
Crater Lake,crla,National Park,OR,42.94065854,-122.1338414
Craters Of The Moon,crmo,National Monument & Preserve,ID,43.20345611,-113.4791609
Cumberland Gap,cuga,National Historical Park,"KY,TN,VA",36.62503076,-83.6114083
Cumberland Island,cuis,National Seashore,GA,30.85857484,-81.45253575
Curecanti,cure,National Recreation Area,CO,38.46584558,-107.3303371
Cuyahoga Valley,cuva,National Park,OH,41.26093905,-81.57116722
César E. Chávez,cech,National Monument,CA,35.22729389,-118.5615781
Dayton Aviation Heritage,daav,National Historical Park,OH,39.78944467,-84.10442045
De Soto,deso,National Memorial,FL,27.52272613,-82.64335416
Death Valley,deva,National Park,"CA,NV",36.48753731,-117.134395
Delaware Water Gap,dewa,National Recreation Area,"NJ,PA",41.12793491,-74.94751173
