X,Y,UNIT_NAME,STATE,UNIT_TYPE
-97.340680674895395,26.703665380436519,Padre Island National Seashore,TX,National Seashore
-109.586349779073217,38.722538647211465,Arches National Park,UT,National Park
-70.876178899811705,42.262198836984346,Boston Harbor Islands National Recreation Area,MA,National Recreation Area
-111.510376041444019,35.371142025306675,Sunset Crater Volcano National Monument,AZ,National Monument
-77.030965131023976,38.908183320578303,Mary McLeod Bethune Council House National Historic Site,DC,National Historic Site
-77.025659742041398,38.896662263401701,Ford's Theatre National Historic Site,DC,National Historic Site
-95.676407619208774,39.037932612749124,Brown v. Board of Education National Historic Site,KS,National Historic Site
-112.73985668068056,36.862826640409345,Pipe Spring National Monument,AZ,National Monument
-108.346398391258035,35.038958838777162,El Morro National Monument,NM,National Monument
-97.007158058726162,34.460493736193754,Chickasaw National Recreation Area,OK,National Recreation Area
-82.838140495313922,36.155363031093678,Andrew Johnson National Historic Site,TN,National Historic Site
-73.82577276572114,40.892835111108369,Saint Paul's Church National Historic Site,NY,National Historic Site
-74.016805579907199,40.703477949543981,Castle Clinton National Monument,NY,National Monument
-110.762471381561838,41.856342770151521,Fossil Butte National Monument,WY,National Monument
-91.20777103584723,43.091457663053639,Effigy Mounds National Monument,IA,National Monument
-89.616898902512787,43.077588232901356,Ice Age National Scenic Trail,WI,National Scenic Trail
-109.068451250350506,37.38353900013734,Hovenweep National Monument,UT,National Monument
-105.012017373568099,35.907370749642844,Fort Union National Monument,NM,National Monument
-85.644420615478424,37.611975730120228,Abraham Lincoln Birthplace National Historical Park,KY,National Historical Park
-82.871790654628398,24.648830269950786,Dry Tortugas National Park,FL,National Park
-81.389842562480197,31.223555105541724,Fort Frederica National Monument,GA,National Monument
-77.055114170701046,38.683882780624039,Piscataway Park,MD,Other Designation
-118.154717759405699,36.725591472673869,Manzanar National Historic Site,CA,National Historic Site
-112.18271108148646,37.583898095822207,Bryce Canyon National Park,UT,National Park
-110.728042445778101,44.088697825292201,"John D. Rockefeller, Jr., Memorial Parkway",WY,National Parkway
-94.355227351028034,36.987132027676068,George Washington Carver National Monument,MO,National Monument
-74.239820969423349,40.785970747213099,Thomas Edison National Historical Park,NJ,National Historical Park
-110.547196212503579,44.59644456491948,Yellowstone National Park,WY,National Park
-109.559951588791733,35.707273162437524,Hubbell Trading Post National Historic Site,AZ,National Historic Site
-106.454401125557951,31.767296318511434,Chamizal National Memorial,TX,National Memorial
-155.602855100794727,19.377577478926629,Hawai'i Volcanoes National Park,HI,National Park
-101.671701254169662,35.581965233320993,Alibates Flint Quarries National Monument,TX,National Monument
-155.821162931946532,20.027721828022255,Pu'ukohola Heiau National Historic Site,HI,National Historic Site
-90.351692550211908,38.551823730928525,Ulysses S. Grant National Historic Site,MO,National Historic Site
-80.754123324135676,28.786247319787787,Canaveral National Seashore,FL,National Seashore
-74.004328912163729,40.714549478610351,African Burial Ground National Monument,NY,National Monument
-117.241598552017592,32.672250214101361,Cabrillo National Monument,CA,National Monument
-75.445741051732142,40.100611684561805,Valley Forge National Historical Park,PA,National Historical Park
-77.049548608950957,38.714986295019884,George Washington Memorial Parkway,VA,National Parkway
-77.140096892348325,38.96762881193365,Clara Barton National Historic Site,MD,National Historic Site
-77.028750933867258,38.712176655815973,Fort Washington Park,MD,Other Designation
-118.575203303908651,36.507683795023809,Sequoia National Park,CA,National Park
-156.924649826511285,21.154640886083765,Kalaupapa National Historical Park,HI,National Historical Park
-85.679833186735337,32.45538666537152,Tuskegee Airmen National Historic Site,AL,National Historic Site
-64.755193579591648,17.779085362558764,Salt River Bay National Historical Park and Ecological Preserve,VI,National Historical Park
-91.382449767859313,31.54301947473995,Natchez National Historical Park,MS,National Historical Park
-75.150006197346826,39.961954816885367,Edgar Allan Poe National Historic Site,PA,National Historic Site
-71.070640434316928,42.357895626559433,Boston African American National Historic Site,MA,National Historic Site
-86.130894762225708,37.197580467433852,Mammoth Cave National Park,KY,National Park
-110.705487735168958,43.818160112596708,Grand Teton National Park,WY,National Park
-122.027156635366197,37.826044557131894,Eugene O'Neill National Historic Site,CA,National Historic Site
-71.012549390655849,42.256594147867403,Adams National Historical Park,MA,National Historical Park
-110.536256489447723,36.685491178702449,Navajo National Monument,AZ,National Monument
-77.037812904891481,38.529344151818783,Thomas Stone National Historic Site,MD,National Historic Site
-93.007298763404023,31.664441655245145,Cane River Creole National Historical Park,LA,National Historical Park
-108.500928886119397,37.22348339262372,Mesa Verde National Park,CO,National Park
-114.257965768278083,38.946095297977202,Great Basin National Park,NV,National Park
-89.760688499338414,47.999682000126633,Grand Portage National Monument,MI,National Monument
-122.602260279335326,40.613580198441447,Whiskeytown-Shasta-Trinity National Recreation Area,CA,National Recreation Area
-122.473717218295192,37.808400182652612,Fort Point National Historic Site,CA,National Historic Site
-70.886838228124688,42.519598966792323,Salem Maritime National Historic Site,MA,National Historic Site
-77.035465840616055,38.888651716843732,Washington Monument,DC,National Memorial
-77.036325729565576,38.881014296748781,Thomas Jefferson Memorial,DC,National Memorial
-78.110311324972415,34.458207729006467,Moores Creek National Battlefield,NC,National Battlefield
-85.734136180370342,32.976687687017268,Horseshoe Bend National Military Park,AL,National Military Park
-81.238662311114751,29.711405264929802,Fort Matanzas National Monument,FL,National Monument
-119.739650836647755,34.016551269337633,Channel Islands National Park,CA,National Park
-109.876962207943194,38.243140386565436,Canyonlands National Park,UT,National Park
-92.299899128004711,34.736959242543314,Little Rock Central High School National Historic Site,AR,National Historic Site
-77.036553560287942,38.897039984279452,White House,DC,Other Designation
-79.731874183494838,37.114813346101286,Booker T. Washington National Monument,VA,National Monument
-90.147210282661206,29.819161250170339,Jean Lafitte National Historical Park and Preserve,LA,National Historical Park and Preserve
-103.829994000461284,43.731028602786864,Jewel Cave National Monument,SD,National Monument
-99.21697509478166,38.184490768186606,Fort Larned National Historic Site,KS,National Historic Site
-156.030719596585953,19.680825063147573,Kaloko-Honokohau National Historical Park,HI,National Historical Park
-122.366535033801014,37.908668202140902,Rosie the Riveter/World War II Home Front National Historical Park,CA,National Historical Park
-75.455576259315293,43.21053439622888,Fort Stanwix National Monument,NY,National Monument
-75.147320452039594,39.943453120851821,Thaddeus Kosciuszko National Memorial,PA,National Memorial
-84.507589508022022,39.119703524337865,William Howard Taft National Historic Site,OH,National Historic Site
-94.704291739690774,37.843588483190445,Fort Scott National Historic Site,KS,National Historic Site
-82.811904426686695,41.653790412132793,Perry's Victory and International Peace Memorial,OH,National Memorial
-81.35086557049901,41.664865481092093,James A. Garfield National Historic Site,OH,National Historic Site
-77.461221328377107,39.648211185564669,Catoctin Mountain Park,MD,Other Designation
-110.965509871398012,37.077887628795281,Rainbow Bridge National Monument,UT,National Monument
-110.002245418462891,37.604528113523195,Natural Bridges National Monument,UT,National Monument
-103.426649995920499,38.039774825674478,Bent's Old Fort National Historic Site,CO,National Historic Site
-111.919273859567625,33.187138156174392,Hohokam Pima National Monument,AZ,National Monument
-86.909965049755627,30.373063348014963,Gulf Islands National Seashore,FL,National Seashore
-111.502424365653084,35.168227999985483,Walnut Canyon National Monument,AZ,National Monument
-78.800894470405254,37.382747611733386,Appomattox Court House National Historical Park,VA,National Historical Park
-96.324755230985318,44.013519377864824,Pipestone National Monument,MN,National Monument
-157.938605770754776,21.367051200333993,World War II Valor in the Pacific National Monument,HI,National Monument
-80.210247000514741,25.490494759715901,Biscayne National Park,FL,National Park
-71.296046814827577,42.453400321236863,Minute Man National Historical Park,MA,National Historical Park
-91.347327602170836,34.020725455083422,Arkansas Post National Memorial,AR,National Memorial
-103.452518805411813,43.880369241675126,Mount Rushmore National Memorial,SD,National Memorial
-104.884356088031055,31.923349517749465,Guadalupe Mountains National Park,TX,National Park
-113.712410355948904,42.069884238573749,City of Rocks National Reserve,ID,National Reserve
-114.953998905403083,42.775573270932355,Hagerman Fossil Beds National Monument,ID,National Monument
-122.132660042867514,37.982634409376566,John Muir National Historic Site,CA,National Historic Site
-77.363017242802343,37.227995027274588,Petersburg National Battlefield,VA,National Battlefield
-93.596412798445627,33.667617960128013,President William Jefferson Clinton Birthplace Home National Historic Site,AR,National Historic Site
-122.661637597295538,45.623560271584438,Fort Vancouver National Historic Site,WA,National Historic Site
